id,Date,User_id,Tweets,Likes,Retweets,Replies
27,2022-04-26 11:12:18+00:00,7,"estapasando talento y competencias digitales sp22
ins garcia thebridgetech
enric montesa coevcom
leticia gonzalvez directora marketing sesamehr
la competencia digital demandada en las empresas no son las bsicas que todos tenemos httpstcoorpm5itbpe",3,0,1
28,2022-04-26 11:06:11+00:00,34,tenemos que decir que el burn mondays de ayer con thebridgetech fue muy top ,3,1,1
29,2022-04-25 15:05:53+00:00,23,este jueves job market place en thebridgetech con spaingeneration la feria de empleo con el mejor talento de marketingdigital accenturespain siliconhr1  participarn en busca del mejor talento si eres empresa y quieres participar httpstco0n4iufzfmi httpstcoa51ystbfjf,0,0,0
30,2022-04-25 09:58:29+00:00,23,necesitaba formacin tcnica para potenciar mi empleabilidad cuenta nuestra alumni clara bayn a elpais tras hacer el bootcamp en ciberseguridad ahora trabaja en deloittede check it out httpstcoxgipzfmtx6 httpstco7jrva74qtg,0,0,0
31,2022-04-22 08:43:37+00:00,17,mercedes mac pherson globant  hay un desconocimiento grande del poder de transformacin de la tecnologa mujerytecnologa thebridgetech httpstcoofdlmzic1y,2,0,0
32,2022-04-22 08:33:23+00:00,17,sara gmez raing la sociedad no sabe lo que hacemos los ingenieros y los tecnlogos mujerytecnologa thebridgetech globant httpstcolyfyizuw3j,5,1,0
33,2022-04-22 08:29:12+00:00,17,comienza nuestra segunda mesa cmo construir un futuro que nos representa aqu te dejamos el enlace para seguirnos en streaming httpstcoabqkbblkmt mujerytecnologa globant thebridgetech httpstcokapskz04sd,2,0,0
34,2022-04-22 08:26:55+00:00,17,carmen artigas secretaria de estado de digitalizacin e inteligencia artificial de asuntos econmicos y transformacin digital es nuestro momento el momento de las mujeres mujerytecnologa globant thebridgetech httpstcogljycqpbrh,5,3,0
35,2022-04-22 08:22:02+00:00,17,nunca se progresa desde el miedo hay que arriesgarse disfrutando irene cano meta mujerytecnologa thebridgetech globant httpstcoyaounwjis6,4,1,0
36,2022-04-22 08:19:53+00:00,17,"hay que tener una apertura de mente en los modelos educativos mara rotondo telefonica 
aqu te dejamos el enlace para seguirnos en streaming httpstcoabqkbblkmt mujerytecnologa globant thebridgetech httpstcodb8tf3prjv",2,0,0
37,2022-04-22 07:48:10+00:00,17,"a da de hoy el 41  de las  investigaciones pblicas las hacen mujeres descubre ms datos en numerosas jornada thebridgetech mujerytecnologa 
httpstcobnryob4h6y httpstcozbq4299zqw",0,0,0
38,2022-04-22 06:55:37+00:00,8,mujeresaseguir globant thebridgetech qu gran panel,0,0,0
39,2022-04-21 14:26:16+00:00,23,unimos psicologa diseo uxui y realidadvirtual la respuesta s te invitamos a la mesa redonda del 28 de abril en thebridgetech donde trataremos el diseo ux desde el punto de vista del tratamiento de las fobias a travs de la vr entradas httpstcojgopd7p2ro,0,0,0
40,2022-04-21 12:42:41+00:00,13,mujeresaseguir globant thebridgetech apuntado en la agenda ,0,0,0
41,2022-04-21 12:01:42+00:00,23,gracias a vosotros httpstcog7otwl5xbs,1,0,0
42,2022-04-21 11:30:01+00:00,43,como ya sabis antes de semanasanta nuestro alumnado de la fpinformtica visitaron thebridgetech gracias a su trato hacia itep y su colaboracin os ofrecemos nuevas imgenes de esa actividad en ellas queda patente el inters de la cita  httpstcont0lfyitdb,4,1,0
43,2022-04-20 11:26:24+00:00,49,thebridgetech otro de los placeres de haber pasado unos meses en esas aulas ,1,0,0
44,2022-04-20 07:56:32+00:00,23,qu bonito es nuestro palacio  todo un privilegio para alumnos profes y staff poder disfrutar de este espacio en pleno centro de madrid httpstcodcpt8lwj6a,3,0,1
45,2022-04-20 04:57:14+00:00,26,"actualmente acoge las oficinas de the bridge una aceleradora de talento digital
 thebridgetech httpstcoxgwzxnqdoi",8,0,1
46,2022-04-19 19:55:08+00:00,44,bertinha84 thebridgetech   ,1,0,0
47,2022-04-19 15:34:25+00:00,23,os presentamos a jess alumni recin graduado del bootcamp de digitalmarketingops que tras acabar la carrera se lanz en busca de una especializacin en marketingdigital gracias jess por compartir tu experiencia y mucha suerte  ms info httpstcogtnhqmdsgp httpstco4vv7vdyjjp,1,0,0
48,2022-04-18 15:05:12+00:00,33,andreamaganrey thebridgetech httpstcofpgukyngx4,1,0,0
49,2022-04-18 14:52:49+00:00,3,bertinha84 thebridgetech a por ello bertinha84 httpstcotz445lv3mv,1,0,1
50,2022-04-18 13:37:44+00:00,33,alinnfm thebridgetech httpstco0iwmj42wab,0,0,0
51,2022-04-18 13:22:37+00:00,27,"bertinha84 thebridgetech que emocin 
todo lo bueno del mundo para ti en esta etapa ",1,0,1
52,2022-04-18 08:26:32+00:00,23,bertinha84 ese nudo es presagio de algo bueno bienvenida a thebridgetech  muchas horas de uxui te esperan  sin miedo,1,0,0
53,2022-04-18 06:50:51+00:00,33,marcosdlcs thebridgetech lo har gracias marcos ,0,0,0
54,2022-04-18 06:43:57+00:00,47,"bertinha84 thebridgetech mucha suerte en la nueva aventura

no olvides compartir tu camino y tus experiencias 

seguro que son de utilidad para la comunidad

",1,0,1
55,2022-04-18 06:03:12+00:00,33,hoy empiezo en un ratito mi camino en el uxui de la mano de thebridgetech en su bootcamp tengo un nudo enorme en el estmago y todas las ganas de aprender a por todas voy,6,1,5
56,2022-04-12 13:12:30+00:00,9,"manufosela adalabdigital 4geeksacademyes socratech thebridgetech itacademy nebulovaes muy orgullosos de nuestros top notch coders
mucho nimo a esa 6 generacionk  de 
kairosds con todo lo nuevo",0,0,0
57,2022-04-12 11:55:30+00:00,46,de los 21 hay 7 desarrolladoras de adalabdigital 4 de 4geeksacademyes 2 de codenotchmad 1 de socratech  1 de thebridgetech 1 de itacademy 1 de nebulovaes y de fpdaw y autodidactas,12,3,3
58,2022-04-12 09:11:58+00:00,23,a la vuelta de semanasantasevilla toca bootcampsespecialzate en datascience o desarrollowebfullstack con nuestros programas en colaboracin con encamarasevilla estudia en pleno centro de sevilla y en unos meses sal a comerte el sector techhttpstco1mqszzsqlv httpstcoggtxfwcv72,3,1,0
59,2022-04-11 11:05:33+00:00,23,"el 25 de abril estrenamos los burnmondays con la colaboracin de burnes una oportunidad para que nuestrs alums puedan presentar sus proyectos hacer un taller en definitiva mostrar su talento al save the date  entradas httpstcoyzvclhzxvd  
bootcamps httpstcoyzutjbcgif",0,1,0
60,2022-04-07 11:18:21+00:00,23,burnes algn que otro  toda energa extra es bienvenida y necesaria  gracias burnes pronto haremos buen uso de ella httpstcop0uels5eif,0,0,0
61,2022-04-07 10:00:06+00:00,34,nos han contado que en thebridgetech se lo curran mucho hemos colado algn que otro burn os viene bien una ayudita de energa ,6,1,1
62,2022-04-07 07:35:47+00:00,23,en dos semanas empezamos los bootcamps part time compatibles con trabajoestudios en sevilla y en encamarasevilla ya hay quin ha empezado a calentar preparados para lo que viene httpstco1kboqqk8iw httpstcoqfxaxsfyz4,0,0,0
63,2022-04-06 09:13:36+00:00,32,thebridgetech a vuestra disposicin muchas gracias,0,0,0
64,2022-04-06 07:55:05+00:00,23,andreamaganrey hola andrea qu gran trabajo estamos encantados de pasarte informacin para que puedas completar ese listado te mandamos un dm ,0,0,0
65,2022-04-05 13:07:13+00:00,54,assemblerinstit thebridgetech craftcodetech codehouselearn codenotchmad neolandstudio adalabdigital ieuniversity lemoncoders codeworks geeksacademy penascalf5 hola lo tenemos en formato json en git httpstcox2dne2vfab podis hacer un pr ,3,0,0
66,2022-04-05 13:03:14+00:00,31,raulcotrina thebridgetech craftcodetech codehouselearn codenotchmad neolandstudio adalabdigital ieuniversity lemoncoders codeworks geeksacademy penascalf5 muy buenas ral nos parece una idea increble me dices donde te pasamos la informacin de los cursos que tenemos actualmente,0,0,1
67,2022-03-31 20:04:25+00:00,23,cuando piensas en un hacker te imaginas a una mujer  son muy pocas las mujeres que deciden apostar por estudios de tecnologa hay que fomentar la inclusin de las mujeres en un mercado laboral con un futuro muy prometedor explica ikerarceseco httpstcouqghl1tlcq,0,0,0
68,2022-03-30 11:12:07+00:00,24,hemos colaborado con thebridgetech aportando el proyecto final de los alumnos para el desafo de tripulaciones y premiando a los 3 grupos con una donacin para la ong de su eleccin increbles resultados en tiempo rcord apoyamoseltalentotech httpstcovj5hdv6gsn httpstcolpsupftdfp,4,1,0
